dataset_a,episode_a,frame_a,dataset_b,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,24,14,v3_start_coverage,14,20,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,21,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,22,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,23,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,24,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,25,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,26,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,27,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,28,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,29,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,30,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,31,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,32,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,33,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,34,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,35,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,36,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,37,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,38,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,39,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,40,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,41,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,42,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,43,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,44,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,45,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,46,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,47,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,48,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,49,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,50,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,51,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,52,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
v2_clean,24,14,v3_start_coverage,14,53,2.7575,4.2198,-0.6154,4.8352,-4.2637,-2.4176,1.8462,4.8352
