dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v3_clean,8,wrist_roll,27,0.13675,0.17582,0.17582,0.17582,1.15000,0.00000
v3_clean,8,gripper,27,0.42283,0.43759,0.50856,0.50856,9.17000,0.00000
v3_clean,9,shoulder_pan,82,0.68722,0.70330,0.70330,0.70330,4.58000,0.00000
v3_clean,9,shoulder_lift,82,0.58751,0.52747,0.79121,2.63737,5.16000,0.00000
v3_clean,9,elbow_flex,82,1.89547,1.80219,2.48791,3.73626,5.73000,0.00000
v3_clean,9,wrist_flex,82,1.01099,1.01099,1.01099,1.01099,4.01000,0.00000
v3_clean,9,wrist_roll,82,0.30662,0.26374,0.35165,0.43956,1.15000,0.00000
v3_clean,9,gripper,82,0.39449,0.39449,0.39449,0.39449,9.17000,0.00000
v3_clean,10,shoulder_pan,39,0.74613,0.70330,0.88791,0.96703,4.58000,0.00000
v3_clean,10,shoulder_lift,39,0.83404,0.61539,2.28571,3.95605,5.16000,0.00000
v3_clean,10,elbow_flex,39,2.41307,2.24175,3.84176,4.26374,5.73000,0.00000
v3_clean,10,wrist_flex,39,0.17019,0.13187,0.48352,0.48352,4.01000,0.00000
v3_clean,10,wrist_roll,39,0.18484,0.17582,0.26374,0.26374,1.15000,0.00000
v3_clean,10,gripper,39,0.38601,0.36858,0.51052,0.51052,9.17000,0.00000
v3_clean,11,shoulder_pan,27,0.96703,0.96703,0.96703,0.96703,4.58000,0.00000
v3_clean,11,shoulder_lift,27,0.70655,0.61539,1.24835,2.10989,5.16000,0.00000
v3_clean,11,elbow_flex,27,2.27431,1.89011,3.90329,4.79121,5.73000,0.00000
v3_clean,11,wrist_flex,27,1.09890,1.09890,1.09890,1.09890,4.01000,0.00000
v3_clean,11,wrist_roll,27,0.30932,0.35165,0.35165,0.35165,1.15000,0.00000
v3_clean,11,gripper,27,0.29564,0.29564,0.29564,0.29564,9.17000,0.00000
v3_clean,12,shoulder_pan,58,0.61538,0.61538,0.61538,0.61538,4.58000,0.00000
v3_clean,12,shoulder_lift,58,0.41228,0.35165,0.79121,0.96703,5.16000,0.00000
v3_clean,12,elbow_flex,58,2.10686,1.97802,2.74725,4.00000,5.73000,0.00000
v3_clean,12,wrist_flex,58,0.21978,0.21978,0.21978,0.21978,4.01000,0.00000
v3_clean,12,wrist_roll,58,0.13490,0.17582,0.17582,0.17582,1.15000,0.00000
v3_clean,12,gripper,58,0.39282,0.39405,0.39405,0.39405,9.17000,0.00000
