dataset,episode_a,frame_a,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v3_clean,10,38,14,66,1.27658,3.95605,-0.35165,4.30770,-4.26374,-2.59341,1.67033,4.30770
v3_clean,10,38,14,67,1.27658,3.95605,-0.35165,4.30770,-4.26374,-2.59341,1.67033,4.30770
v4_train39,0,19,28,32,1.28605,-0.26373,4.04395,4.30769,-2.50549,-4.43956,1.93407,4.30769
v4_train39,0,32,8,0,2.67940,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,1,2.67940,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,2,2.63724,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,3,2.55991,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,4,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,5,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,6,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,7,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,8,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,9,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,10,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,0,32,8,11,2.52496,4.21978,0.00000,4.21978,-5.40659,-1.97802,3.42857,4.21978
v4_train39,1,0,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,1,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,2,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,3,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,4,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,5,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,6,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,7,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,8,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,9,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,10,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,11,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,12,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,13,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,14,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,15,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,16,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,17,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,18,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,19,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,20,34,20,2.33490,0.35165,2.02198,1.67033,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,21,34,20,2.33490,0.43956,2.02198,1.58242,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,22,34,20,2.33490,0.43956,2.02198,1.58242,-2.06593,-6.28571,4.21978,4.21978
v4_train39,1,23,34,20,2.33490,0.70329,2.02198,1.31869,-2.06593,-6.28571,4.21978,4.21978
v4_train39,5,0,17,42,2.02684,0.52747,2.37363,1.84615,-0.30769,-4.52747,4.21978,4.21978
v4_train39,5,0,17,43,2.45454,0.52747,2.90110,2.37363,-0.30769,-4.52747,4.21978,4.21978
v4_train39,5,1,17,42,2.02684,0.52747,2.37363,1.84615,-0.30769,-4.52747,4.21978,4.21978
v4_train39,5,1,17,43,2.45454,0.52747,2.90110,2.37363,-0.30769,-4.52747,4.21978,4.21978
v4_train39,0,20,28,32,1.28605,-0.17582,4.04395,4.21977,-2.59341,-4.43956,1.84615,4.21977
v3_clean,4,81,14,0,0.91783,3.51649,-0.61539,4.13187,-3.91209,-2.41758,1.49451,4.13187
v3_clean,4,81,14,1,0.91783,3.51649,-0.61539,4.13187,-3.91209,-2.41758,1.49451,4.13187
v3_clean,4,81,14,2,0.91783,3.51649,-0.61539,4.13187,-3.91209,-2.41758,1.49451,4.13187
v3_clean,4,81,14,3,0.91783,3.51649,-0.61539,4.13187,-3.91209,-2.41758,1.49451,4.13187
v3_clean,4,81,14,4,0.91783,3.51649,-0.61539,4.13187,-3.91209,-2.41758,1.49451,4.13187
